,City,Lat,Lng,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Fortaleza,-3.7227,-38.5247,80.73,78,75,13.8,BR,1658702145
1,Kavaratti,10.5669,72.642,81.16,75,100,14.29,IN,1658702396
2,Airai,-8.9266,125.4092,57.13,55,56,2.46,TL,1658702241
3,East London,-33.0153,27.9116,59.13,62,74,7.67,ZA,1658702244
4,Saint-Philippe,-21.3585,55.7679,65.21,80,44,9.22,RE,1658702242
5,Vostok,46.4856,135.8833,66.36,85,100,0.72,RU,1658702263
6,Rocha,-34.4833,-54.3333,56.12,99,73,4.38,UY,1658702372
7,Sorong,-0.8833,131.25,78.6,87,57,4.83,ID,1658702396
8,Esim,4.8699,-2.2405,73.6,85,20,7.11,GH,1658702318
9,Ushuaia,-54.8,-68.3,35.26,64,75,8.05,AR,1658702318
10,Longyearbyen,78.2186,15.6401,48.04,81,75,10.36,SJ,1658702223
11,Sioux Lookout,50.1001,-91.917,57.27,82,100,11.5,CA,1658702362
12,Smidovich,48.6,133.8167,69.75,83,0,7.14,RU,1658702397
13,Mataura,-46.1927,168.8643,37.47,82,21,2.68,NZ,1658702315
14,Del Rio,29.3627,-100.8968,102.31,24,0,16.11,US,1658702125
15,Grindavik,63.8424,-22.4338,51.75,87,100,8.05,IS,1658702274
16,New Norfolk,-42.7826,147.0587,43.72,91,81,2.04,AU,1658702239
17,Lagoa,39.05,-27.9833,73.33,90,0,10.33,PT,1658702241
18,Busselton,-33.65,115.3333,57.45,68,80,14.97,AU,1658702313
19,Kuznechikha,57.2161,42.3348,68.14,68,71,2.13,RU,1658702398
20,Storsteinnes,69.2408,19.2344,49.37,84,67,4.32,NO,1658702398
21,Dicabisagan,17.0818,122.4157,82.4,81,93,0.16,PH,1658702398
22,Hilo,19.7297,-155.09,88.29,71,75,11.5,US,1658702234
23,Hobart,-42.8794,147.3294,44.06,97,40,4.61,AU,1658702089
24,Half Moon Bay,37.4636,-122.4286,89.58,66,75,14.97,US,1658702275
25,Leningradskiy,69.3833,178.4167,34.93,97,100,3.56,RU,1658702289
26,Cape Town,-33.9258,18.4232,58.37,75,0,7.0,ZA,1658702102
27,Provideniya,64.3833,-173.3,48.36,81,75,7.0,RU,1658702265
28,Gorontalo,0.5412,123.0595,77.63,85,93,5.48,ID,1658702290
29,Albany,42.6001,-73.9662,93.16,55,66,9.57,US,1658702118
30,Wajima,37.4,136.9,76.64,83,67,5.48,JP,1658702399
31,Khatanga,71.9667,102.5,62.42,80,98,9.66,RU,1658702234
32,Hong Kong,22.2855,114.1577,86.97,80,7,4.0,HK,1658702254
33,Praia,14.9215,-23.5087,79.34,83,40,6.91,CV,1658702346
34,Ostrovnoy,68.0531,39.5131,50.07,91,97,12.26,RU,1658702253
35,Rome,43.2128,-75.4557,80.08,88,100,1.99,US,1658702318
36,Vaini,-21.2,-175.2,75.36,73,40,8.05,TO,1658702263
37,Atuona,-9.8,-139.0333,76.66,66,52,16.28,PF,1658702232
38,Bambous Virieux,-20.3428,57.7575,62.85,88,75,3.44,MU,1658702252
39,Eldorado,-23.7869,-54.2836,72.09,49,98,5.32,BR,1658702400
40,Torbay,47.6666,-52.7314,79.57,67,40,11.5,CA,1658702239
41,Izumo,35.3667,132.7667,78.75,78,75,8.05,JP,1658702256
42,Bathsheba,13.2167,-59.5167,83.01,91,40,12.66,BB,1658702229
43,Naushki,50.3828,106.1056,58.59,90,100,3.2,RU,1658702401
44,Bandar-e Anzali,37.4727,49.4622,71.71,75,90,5.26,IR,1658702401
45,Kruisfontein,-34.0033,24.7314,51.89,83,52,4.03,ZA,1658702270
46,Vestmannaeyjar,63.4427,-20.2734,52.2,87,97,13.91,IS,1658702087
47,Hasaki,35.7333,140.8333,82.8,83,80,13.44,JP,1658702368
48,Tiznit Province,29.5833,-9.5,88.25,25,43,3.53,MA,1658702402
49,Yellowknife,62.456,-114.3525,61.32,82,100,11.5,CA,1658702265
50,Klaksvík,62.2266,-6.589,50.92,95,100,23.55,FO,1658702254
51,Biri,12.6833,124.3636,82.78,77,70,5.66,PH,1658702402
52,Baie-Comeau,49.2168,-68.1489,69.48,78,75,2.3,CA,1658702403
53,Rikitea,-23.1203,-134.9692,75.52,80,73,15.73,PF,1658702314
54,Vardø,70.3705,31.1107,48.18,87,100,0.0,NO,1658702237
55,Kamenka,51.3223,42.7678,62.08,87,49,5.39,RU,1658702339
56,Narsaq,60.9167,-46.05,59.22,65,85,5.14,GL,1658702246
57,Ondjiva,-17.0667,15.7333,61.03,36,0,4.7,AO,1658702404
58,Seoul,37.5683,126.9778,76.44,91,20,4.61,KR,1658702343
59,Chokurdakh,70.6333,147.9167,66.04,39,90,10.65,RU,1658702249
60,Ouégoa,-20.35,164.4333,75.38,62,0,4.9,NC,1658702404
61,Punta Arenas,-53.15,-70.9167,37.51,75,20,12.66,CL,1658702224
62,Saint Paul Harbor,57.79,-152.4072,54.91,88,100,13.8,US,1658702227
63,Bethel,41.3712,-73.414,93.36,53,0,11.5,US,1658702117
64,Hazorasp,41.3194,61.0742,84.04,27,75,13.53,UZ,1658702405
65,Cabo San Lucas,22.8909,-109.9124,91.62,67,20,4.61,MX,1658702236
66,Ahipara,-35.1667,173.1667,62.24,96,100,19.44,NZ,1658702405
67,Baturaja,-4.1333,104.1667,71.98,99,100,1.95,ID,1658702405
68,Omboué,-1.5746,9.2618,71.92,82,94,4.83,GA,1658702390
69,Kapaa,22.0752,-159.319,84.52,67,20,14.97,US,1658702250
70,Sitka,57.0531,-135.33,57.09,94,100,12.66,US,1658702243
71,Butaritari,3.0707,172.7902,82.4,73,2,18.86,KI,1658702316
72,Chui,-33.6971,-53.4616,57.29,99,57,5.19,UY,1658701987
73,Dunedin,-45.8742,170.5036,48.79,91,100,3.0,NZ,1658702257
74,Hermanus,-34.4187,19.2345,50.81,86,0,10.74,ZA,1658702243
75,Yangi Marg`ilon,40.4272,71.7189,83.12,21,0,6.91,UZ,1658702289
76,Ossora,59.2353,163.0719,57.87,64,32,6.04,RU,1658702406
77,Gondanglegi,-7.7479,112.0132,69.75,79,55,13.44,ID,1658702407
78,Carmarthen,51.8555,-4.3054,64.33,88,75,27.63,GB,1658702407
79,Qaanaaq,77.484,-69.3632,40.23,92,100,0.27,GL,1658702241
80,Lebu,-37.6167,-73.65,51.84,95,100,9.55,CL,1658702341
81,Lorengau,-2.0226,147.2712,84.31,72,74,9.24,PG,1658702283
82,Puerto Ayora,-0.7393,-90.3518,78.76,90,79,5.99,EC,1658702253
83,Mayo,38.8876,-76.5119,96.12,74,0,10.36,US,1658702259
84,Lazo,43.3817,133.9014,69.46,79,80,2.15,RU,1658702408
85,Opotiki,-38.0833,177.2833,54.23,74,100,6.35,NZ,1658702408
86,Inuvik,68.3499,-133.7218,54.61,76,100,4.61,CA,1658702408
87,Saint George,37.1041,-113.5841,98.64,29,75,18.41,US,1658702260
88,Teya,60.3778,92.6267,56.01,94,92,2.68,RU,1658702409
89,Lüderitz,-26.6481,15.1594,66.65,48,1,6.87,NA,1658702232
90,Ulaangom,49.9811,92.0667,59.88,55,20,4.83,MN,1658702409
91,Touros,-5.1989,-35.4608,75.43,76,81,17.85,BR,1658702351
92,Nikolskoye,59.7035,30.7861,62.49,98,78,3.91,RU,1658702091
93,Elko,41.0002,-115.5012,94.64,7,2,10.0,US,1658702211
94,Thompson,55.7435,-97.8558,71.76,37,75,6.91,CA,1658702240
95,Tuktoyaktuk,69.4541,-133.0374,48.2,87,75,6.91,CA,1658702229
96,Port Alfred,-33.5906,26.891,58.93,60,94,6.55,ZA,1658702317
97,Point Fortin,10.1833,-61.6833,81.9,74,46,11.45,TT,1658702410
98,Konya Province,38.1667,32.5,63.88,46,0,3.0,TR,1658702410
99,Acapulco de Juárez,16.8634,-99.8901,87.62,70,75,8.05,MX,1658702242
100,Kachīry,53.0675,76.1036,57.99,63,78,0.36,KZ,1658702411
101,Hailar,49.2,119.7,66.31,74,98,13.02,CN,1658702411
102,Oranjemund,-28.55,16.4333,62.82,33,0,8.93,NA,1658702411
103,Tarko-Sale,64.9225,77.785,50.88,86,100,16.89,RU,1658702412
104,Evensk,61.95,159.2333,60.53,53,76,4.12,RU,1658702226
105,Faanui,-16.4833,-151.75,77.72,78,3,12.12,PF,1658702243
106,Bell Ville,-32.6259,-62.6887,64.67,73,64,7.65,AR,1658702412
